mapping_id, reg_id, stmt_id, task_id, topic_score,core_score, aux_score,final_score
mid_3072, Eudralex2007_5.21, Eudralex2007_5.21_6, S201Task, 0.44111, 0.0, 0.59069, 0.5159
mid_3073, Eudralex2007_5.21, Eudralex2007_5.21_6, CleaningTask_303, 0.48181, 0.0, 0.82143, 0.65162
mid_3074, Eudralex2007_5.21, Eudralex2007_5.21_6, PurchasingTask104, 0.35358, 0.0, 0.57485, 0.464215
mid_3075, Eudralex2007_5.21, Eudralex2007_5.21_6, CleaningTask_202, 0.5474, 0.0, 0.83608, 0.69174
mid_3076, Eudralex2007_5.21, Eudralex2007_5.21_6, MarkingTask_303, 0.39329, 0.0, 0.75565, 0.57447
mid_3077, Eudralex2007_5.21, Eudralex2007_5.21_6, IncidentRecordingTask403, 0.24248, 0.0, 0.43, 0.33624
mid_3078, Eudralex2007_5.21, Eudralex2007_5.21_6, MarkingTask_201, 0.39329, 0.0, 0.73914, 0.566215
mid_3079, Eudralex2007_5.21, Eudralex2007_5.21_6, IncidentRecordingTask402, 0.24248, 0.0, 0.43, 0.33624
mid_3080, Eudralex2007_5.21, Eudralex2007_5.21_6, StoringTask103, 0.21356, 0.0, 0.43195, 0.322755
mid_3081, Eudralex2007_5.21, Eudralex2007_5.21_6, STask301, 0.22185, 0.0, 0.37473, 0.29829
mid_3082, Eudralex2007_5.21, Eudralex2007_5.21_6, T101CleaningTask, 0.57074, 0.0, 0.8008, 0.68577
mid_3083, Eudralex2007_5.21, Eudralex2007_5.21_6, STask302, 0.22185, 0.0, 0.37473, 0.29829
mid_3084, Eudralex2007_5.21, Eudralex2007_5.21_6, ProtectingTask203, 0.23899, 0.0, 0.43195, 0.33547
mid_3085, Eudralex2007_5.21, Eudralex2007_5.21_6, DisposingTask203, 0.20295, 0.0, 0.4148, 0.308875
mid_3086, Eudralex2007_5.21, Eudralex2007_5.21_6, ComplaintRecordingTask201, 0.23274, 0.0, 0.38904, 0.31089
mid_3087, Eudralex2007_5.21, Eudralex2007_5.21_6, ComplaintRecordingTask202, 0.23274, 0.0, 0.38904, 0.31089
mid_3088, Eudralex2007_5.21, Eudralex2007_5.21_6, AspirinTabletMarkTask103, 0.39329, 0.0, 0.73914, 0.566215
mid_3089, Eudralex2007_5.21, Eudralex2007_5.21_6, PurchasingTask103, 0.2017, 0.0, 0.21979, 0.21074500000000002
mid_3090, Eudralex2007_5.21, Eudralex2007_5.21_6, ResultRecordingTask302, 0.32432, 0.0, 0.44036, 0.38234
mid_3091, Eudralex2007_5.21, Eudralex2007_5.21_6, ProtectingTask201, 0.23899, 0.0, 0.43195, 0.33547
mid_3092, Eudralex2007_5.21, Eudralex2007_5.21_6, T102CleaningTask, 0.57074, 0.0, 0.8008, 0.68577
mid_3093, Eudralex2007_5.21, Eudralex2007_5.21_6, CleaningTask_203, 0.48181, 0.0, 0.8008, 0.641305
mid_3094, Eudralex2007_5.21, Eudralex2007_5.21_6, DataRecordingTask503, 0.24248, 0.0, 0.43, 0.33624
