sn,alpha,beta,gamma,threshold,precision,recall,fmeasure
21,1.0,0.9,0.10000000000000014,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
22,1.0,0.9,1.3877787807814457E-16,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
23,1.0,0.8,1.0,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
24,1.0,0.8,0.9,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
25,1.0,0.8,0.8,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
26,1.0,0.8,0.7000000000000001,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
27,1.0,0.8,0.6000000000000001,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
28,1.0,0.8,0.5000000000000001,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
29,1.0,0.8,0.40000000000000013,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
30,1.0,0.8,0.30000000000000016,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
31,1.0,0.8,0.20000000000000015,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
32,1.0,0.8,0.10000000000000014,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
33,1.0,0.8,1.3877787807814457E-16,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
34,1.0,0.7000000000000001,1.0,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
35,1.0,0.7000000000000001,0.9,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
36,1.0,0.7000000000000001,0.8,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
37,1.0,0.7000000000000001,0.7000000000000001,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
38,1.0,0.7000000000000001,0.6000000000000001,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
39,1.0,0.7000000000000001,0.5000000000000001,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
40,1.0,0.7000000000000001,0.40000000000000013,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
41,1.0,0.7000000000000001,0.30000000000000016,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
42,1.0,0.7000000000000001,0.20000000000000015,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
